,D,P,mode,ppn,time,"(P, ppn)"
0,16.0,4.0,0.0,1.0,7.0,"(4.0, 1.0)"
1,16.0,4.0,1.0,1.0,8.0,"(4.0, 1.0)"
2,256.0,4.0,0.0,1.0,7.0,"(4.0, 1.0)"
3,256.0,4.0,1.0,1.0,8.0,"(4.0, 1.0)"
4,2048.0,4.0,0.0,1.0,7.0,"(4.0, 1.0)"
5,2048.0,4.0,1.0,1.0,8.0,"(4.0, 1.0)"
6,16.0,4.0,0.0,8.0,7.0,"(4.0, 8.0)"
7,16.0,4.0,1.0,8.0,8.0,"(4.0, 8.0)"
8,256.0,4.0,0.0,8.0,7.0,"(4.0, 8.0)"
9,256.0,4.0,1.0,8.0,8.0,"(4.0, 8.0)"
10,2048.0,4.0,0.0,8.0,7.0,"(4.0, 8.0)"
11,2048.0,4.0,1.0,8.0,8.0,"(4.0, 8.0)"
12,16.0,16.0,0.0,1.0,7.0,"(16.0, 1.0)"
13,16.0,16.0,1.0,1.0,8.0,"(16.0, 1.0)"
14,256.0,16.0,0.0,1.0,7.0,"(16.0, 1.0)"
15,256.0,16.0,1.0,1.0,8.0,"(16.0, 1.0)"
16,2048.0,16.0,0.0,1.0,7.0,"(16.0, 1.0)"
17,2048.0,16.0,1.0,1.0,8.0,"(16.0, 1.0)"
18,16.0,16.0,0.0,8.0,7.0,"(16.0, 8.0)"
19,16.0,16.0,1.0,8.0,8.0,"(16.0, 8.0)"
20,256.0,16.0,0.0,8.0,7.0,"(16.0, 8.0)"
21,256.0,16.0,1.0,8.0,8.0,"(16.0, 8.0)"
22,2048.0,16.0,0.0,8.0,7.0,"(16.0, 8.0)"
23,2048.0,16.0,1.0,8.0,8.0,"(16.0, 8.0)"
24,16.0,4.0,0.0,1.0,7.0,"(4.0, 1.0)"
25,16.0,4.0,1.0,1.0,8.0,"(4.0, 1.0)"
26,256.0,4.0,0.0,1.0,7.0,"(4.0, 1.0)"
27,256.0,4.0,1.0,1.0,8.0,"(4.0, 1.0)"
28,2048.0,4.0,0.0,1.0,7.0,"(4.0, 1.0)"
29,2048.0,4.0,1.0,1.0,8.0,"(4.0, 1.0)"
30,16.0,4.0,0.0,8.0,7.0,"(4.0, 8.0)"
31,16.0,4.0,1.0,8.0,8.0,"(4.0, 8.0)"
32,256.0,4.0,0.0,8.0,7.0,"(4.0, 8.0)"
33,256.0,4.0,1.0,8.0,8.0,"(4.0, 8.0)"
34,2048.0,4.0,0.0,8.0,7.0,"(4.0, 8.0)"
35,2048.0,4.0,1.0,8.0,8.0,"(4.0, 8.0)"
36,16.0,16.0,0.0,1.0,7.0,"(16.0, 1.0)"
37,16.0,16.0,1.0,1.0,8.0,"(16.0, 1.0)"
38,256.0,16.0,0.0,1.0,7.0,"(16.0, 1.0)"
39,256.0,16.0,1.0,1.0,8.0,"(16.0, 1.0)"
40,2048.0,16.0,0.0,1.0,7.0,"(16.0, 1.0)"
41,2048.0,16.0,1.0,1.0,8.0,"(16.0, 1.0)"
42,16.0,16.0,0.0,8.0,7.0,"(16.0, 8.0)"
43,16.0,16.0,1.0,8.0,8.0,"(16.0, 8.0)"
44,256.0,16.0,0.0,8.0,7.0,"(16.0, 8.0)"
45,256.0,16.0,1.0,8.0,8.0,"(16.0, 8.0)"
46,2048.0,16.0,0.0,8.0,7.0,"(16.0, 8.0)"
47,2048.0,16.0,1.0,8.0,8.0,"(16.0, 8.0)"
48,16.0,4.0,0.0,1.0,7.0,"(4.0, 1.0)"
49,16.0,4.0,1.0,1.0,8.0,"(4.0, 1.0)"
50,256.0,4.0,0.0,1.0,7.0,"(4.0, 1.0)"
51,256.0,4.0,1.0,1.0,8.0,"(4.0, 1.0)"
52,2048.0,4.0,0.0,1.0,7.0,"(4.0, 1.0)"
53,2048.0,4.0,1.0,1.0,8.0,"(4.0, 1.0)"
54,16.0,4.0,0.0,8.0,7.0,"(4.0, 8.0)"
55,16.0,4.0,1.0,8.0,8.0,"(4.0, 8.0)"
56,256.0,4.0,0.0,8.0,7.0,"(4.0, 8.0)"
57,256.0,4.0,1.0,8.0,8.0,"(4.0, 8.0)"
58,2048.0,4.0,0.0,8.0,7.0,"(4.0, 8.0)"
59,2048.0,4.0,1.0,8.0,8.0,"(4.0, 8.0)"
60,16.0,16.0,0.0,1.0,7.0,"(16.0, 1.0)"
61,16.0,16.0,1.0,1.0,8.0,"(16.0, 1.0)"
62,256.0,16.0,0.0,1.0,7.0,"(16.0, 1.0)"
63,256.0,16.0,1.0,1.0,8.0,"(16.0, 1.0)"
64,2048.0,16.0,0.0,1.0,7.0,"(16.0, 1.0)"
65,2048.0,16.0,1.0,1.0,8.0,"(16.0, 1.0)"
66,16.0,16.0,0.0,8.0,7.0,"(16.0, 8.0)"
67,16.0,16.0,1.0,8.0,8.0,"(16.0, 8.0)"
68,256.0,16.0,0.0,8.0,7.0,"(16.0, 8.0)"
69,256.0,16.0,1.0,8.0,8.0,"(16.0, 8.0)"
70,2048.0,16.0,0.0,8.0,7.0,"(16.0, 8.0)"
71,2048.0,16.0,1.0,8.0,8.0,"(16.0, 8.0)"
72,16.0,4.0,0.0,1.0,7.0,"(4.0, 1.0)"
73,16.0,4.0,1.0,1.0,8.0,"(4.0, 1.0)"
74,256.0,4.0,0.0,1.0,7.0,"(4.0, 1.0)"
75,256.0,4.0,1.0,1.0,8.0,"(4.0, 1.0)"
76,2048.0,4.0,0.0,1.0,7.0,"(4.0, 1.0)"
77,2048.0,4.0,1.0,1.0,8.0,"(4.0, 1.0)"
78,16.0,4.0,0.0,8.0,7.0,"(4.0, 8.0)"
79,16.0,4.0,1.0,8.0,8.0,"(4.0, 8.0)"
80,256.0,4.0,0.0,8.0,7.0,"(4.0, 8.0)"
81,256.0,4.0,1.0,8.0,8.0,"(4.0, 8.0)"
82,2048.0,4.0,0.0,8.0,7.0,"(4.0, 8.0)"
83,2048.0,4.0,1.0,8.0,8.0,"(4.0, 8.0)"
84,16.0,16.0,0.0,1.0,7.0,"(16.0, 1.0)"
85,16.0,16.0,1.0,1.0,8.0,"(16.0, 1.0)"
86,256.0,16.0,0.0,1.0,7.0,"(16.0, 1.0)"
87,256.0,16.0,1.0,1.0,8.0,"(16.0, 1.0)"
88,2048.0,16.0,0.0,1.0,7.0,"(16.0, 1.0)"
89,2048.0,16.0,1.0,1.0,8.0,"(16.0, 1.0)"
90,16.0,16.0,0.0,8.0,7.0,"(16.0, 8.0)"
91,16.0,16.0,1.0,8.0,8.0,"(16.0, 8.0)"
92,256.0,16.0,0.0,8.0,7.0,"(16.0, 8.0)"
93,256.0,16.0,1.0,8.0,8.0,"(16.0, 8.0)"
94,2048.0,16.0,0.0,8.0,7.0,"(16.0, 8.0)"
95,2048.0,16.0,1.0,8.0,8.0,"(16.0, 8.0)"
96,16.0,4.0,0.0,1.0,7.0,"(4.0, 1.0)"
97,16.0,4.0,1.0,1.0,8.0,"(4.0, 1.0)"
98,256.0,4.0,0.0,1.0,7.0,"(4.0, 1.0)"
99,256.0,4.0,1.0,1.0,8.0,"(4.0, 1.0)"
100,2048.0,4.0,0.0,1.0,7.0,"(4.0, 1.0)"
101,2048.0,4.0,1.0,1.0,8.0,"(4.0, 1.0)"
102,16.0,4.0,0.0,8.0,7.0,"(4.0, 8.0)"
103,16.0,4.0,1.0,8.0,8.0,"(4.0, 8.0)"
104,256.0,4.0,0.0,8.0,7.0,"(4.0, 8.0)"
105,256.0,4.0,1.0,8.0,8.0,"(4.0, 8.0)"
106,2048.0,4.0,0.0,8.0,7.0,"(4.0, 8.0)"
107,2048.0,4.0,1.0,8.0,8.0,"(4.0, 8.0)"
108,16.0,16.0,0.0,1.0,7.0,"(16.0, 1.0)"
109,16.0,16.0,1.0,1.0,8.0,"(16.0, 1.0)"
110,256.0,16.0,0.0,1.0,7.0,"(16.0, 1.0)"
111,256.0,16.0,1.0,1.0,8.0,"(16.0, 1.0)"
112,2048.0,16.0,0.0,1.0,7.0,"(16.0, 1.0)"
113,2048.0,16.0,1.0,1.0,8.0,"(16.0, 1.0)"
114,16.0,16.0,0.0,8.0,7.0,"(16.0, 8.0)"
115,16.0,16.0,1.0,8.0,8.0,"(16.0, 8.0)"
116,256.0,16.0,0.0,8.0,7.0,"(16.0, 8.0)"
117,256.0,16.0,1.0,8.0,8.0,"(16.0, 8.0)"
118,2048.0,16.0,0.0,8.0,7.0,"(16.0, 8.0)"
119,2048.0,16.0,1.0,8.0,8.0,"(16.0, 8.0)"
