,D,P,mode,ppn,time,"(P, ppn)"
0,16.0,4.0,0.0,1.0,0.004747,"(4.0, 1.0)"
1,16.0,4.0,1.0,1.0,0.01757,"(4.0, 1.0)"
2,256.0,4.0,0.0,1.0,0.028592,"(4.0, 1.0)"
3,256.0,4.0,1.0,1.0,0.014898,"(4.0, 1.0)"
4,2048.0,4.0,0.0,1.0,0.079387,"(4.0, 1.0)"
5,2048.0,4.0,1.0,1.0,0.043459,"(4.0, 1.0)"
6,16.0,4.0,0.0,8.0,0.155364,"(4.0, 8.0)"
7,16.0,4.0,1.0,8.0,0.218376,"(4.0, 8.0)"
8,256.0,4.0,0.0,8.0,0.366643,"(4.0, 8.0)"
9,256.0,4.0,1.0,8.0,0.388428,"(4.0, 8.0)"
10,2048.0,4.0,0.0,8.0,1.960394,"(4.0, 8.0)"
11,2048.0,4.0,1.0,8.0,1.029605,"(4.0, 8.0)"
12,16.0,16.0,0.0,1.0,0.036737,"(16.0, 1.0)"
13,16.0,16.0,1.0,1.0,0.027165,"(16.0, 1.0)"
14,256.0,16.0,0.0,1.0,0.063925,"(16.0, 1.0)"
15,256.0,16.0,1.0,1.0,0.088894,"(16.0, 1.0)"
16,2048.0,16.0,0.0,1.0,0.280456,"(16.0, 1.0)"
17,2048.0,16.0,1.0,1.0,0.108094,"(16.0, 1.0)"
18,16.0,16.0,0.0,8.0,0.118669,"(16.0, 8.0)"
19,16.0,16.0,1.0,8.0,0.148946,"(16.0, 8.0)"
20,256.0,16.0,0.0,8.0,0.222313,"(16.0, 8.0)"
21,256.0,16.0,1.0,8.0,0.258653,"(16.0, 8.0)"
22,2048.0,16.0,0.0,8.0,0.791695,"(16.0, 8.0)"
23,2048.0,16.0,1.0,8.0,0.671135,"(16.0, 8.0)"
24,16.0,4.0,0.0,1.0,0.017795,"(4.0, 1.0)"
25,16.0,4.0,1.0,1.0,0.012291,"(4.0, 1.0)"
26,256.0,4.0,0.0,1.0,0.053005,"(4.0, 1.0)"
27,256.0,4.0,1.0,1.0,0.060161,"(4.0, 1.0)"
28,2048.0,4.0,0.0,1.0,0.197185,"(4.0, 1.0)"
29,2048.0,4.0,1.0,1.0,0.172729,"(4.0, 1.0)"
30,16.0,4.0,0.0,8.0,0.149634,"(4.0, 8.0)"
31,16.0,4.0,1.0,8.0,0.228602,"(4.0, 8.0)"
32,256.0,4.0,0.0,8.0,0.365133,"(4.0, 8.0)"
33,256.0,4.0,1.0,8.0,0.385796,"(4.0, 8.0)"
34,2048.0,4.0,0.0,8.0,1.877954,"(4.0, 8.0)"
35,2048.0,4.0,1.0,8.0,1.064916,"(4.0, 8.0)"
36,16.0,16.0,0.0,1.0,0.070186,"(16.0, 1.0)"
37,16.0,16.0,1.0,1.0,0.07608,"(16.0, 1.0)"
38,256.0,16.0,0.0,1.0,0.062022,"(16.0, 1.0)"
39,256.0,16.0,1.0,1.0,0.112238,"(16.0, 1.0)"
40,2048.0,16.0,0.0,1.0,0.66858,"(16.0, 1.0)"
41,2048.0,16.0,1.0,1.0,0.406096,"(16.0, 1.0)"
42,16.0,16.0,0.0,8.0,0.112387,"(16.0, 8.0)"
43,16.0,16.0,1.0,8.0,0.159933,"(16.0, 8.0)"
