sr,D,P,mode,ppn,time,"(P, ppn)"
0,16.0,4.0,0.0,1.0,0.005661,"(4.0, 1.0)"
1,16.0,4.0,1.0,1.0,0.012832,"(4.0, 1.0)"
2,256.0,4.0,0.0,1.0,0.007922,"(4.0, 1.0)"
3,256.0,4.0,1.0,1.0,0.008795,"(4.0, 1.0)"
4,2048.0,4.0,0.0,1.0,0.059076,"(4.0, 1.0)"
5,2048.0,4.0,1.0,1.0,0.070998,"(4.0, 1.0)"
6,16.0,4.0,0.0,8.0,0.094424,"(4.0, 8.0)"
7,16.0,4.0,1.0,8.0,0.076838,"(4.0, 8.0)"
8,256.0,4.0,0.0,8.0,0.354144,"(4.0, 8.0)"
9,256.0,4.0,1.0,8.0,0.27861,"(4.0, 8.0)"
10,2048.0,4.0,0.0,8.0,1.895587,"(4.0, 8.0)"
11,2048.0,4.0,1.0,8.0,1.652189,"(4.0, 8.0)"
12,16.0,16.0,0.0,1.0,0.009906,"(16.0, 1.0)"
13,16.0,16.0,1.0,1.0,0.005614,"(16.0, 1.0)"
14,256.0,16.0,0.0,1.0,0.089299,"(16.0, 1.0)"
15,256.0,16.0,1.0,1.0,0.067409,"(16.0, 1.0)"
16,2048.0,16.0,0.0,1.0,0.424936,"(16.0, 1.0)"
17,2048.0,16.0,1.0,1.0,0.338842,"(16.0, 1.0)"
18,16.0,16.0,0.0,8.0,0.230191,"(16.0, 8.0)"
19,16.0,16.0,1.0,8.0,0.258864,"(16.0, 8.0)"
20,256.0,16.0,0.0,8.0,1.194239,"(16.0, 8.0)"
21,256.0,16.0,1.0,8.0,0.899583,"(16.0, 8.0)"
22,2048.0,16.0,0.0,8.0,5.751555,"(16.0, 8.0)"
23,2048.0,16.0,1.0,8.0,4.379151,"(16.0, 8.0)"
24,16.0,4.0,0.0,1.0,0.001006,"(4.0, 1.0)"
25,16.0,4.0,1.0,1.0,0.001008,"(4.0, 1.0)"
26,256.0,4.0,0.0,1.0,0.010243,"(4.0, 1.0)"
27,256.0,4.0,1.0,1.0,0.012757,"(4.0, 1.0)"
28,2048.0,4.0,0.0,1.0,0.081848,"(4.0, 1.0)"
29,2048.0,4.0,1.0,1.0,0.064999,"(4.0, 1.0)"
30,16.0,4.0,0.0,8.0,0.236307,"(4.0, 8.0)"
31,16.0,4.0,1.0,8.0,0.191485,"(4.0, 8.0)"
32,256.0,4.0,0.0,8.0,0.596642,"(4.0, 8.0)"
33,256.0,4.0,1.0,8.0,0.66916,"(4.0, 8.0)"
34,2048.0,4.0,0.0,8.0,2.75337,"(4.0, 8.0)"
35,2048.0,4.0,1.0,8.0,3.247431,"(4.0, 8.0)"
36,16.0,16.0,0.0,1.0,0.012581,"(16.0, 1.0)"
37,16.0,16.0,1.0,1.0,0.014012,"(16.0, 1.0)"
38,256.0,16.0,0.0,1.0,0.061263,"(16.0, 1.0)"
39,256.0,16.0,1.0,1.0,0.059478,"(16.0, 1.0)"
40,2048.0,16.0,0.0,1.0,0.437721,"(16.0, 1.0)"
41,2048.0,16.0,1.0,1.0,0.31915,"(16.0, 1.0)"
42,16.0,16.0,0.0,8.0,0.136341,"(16.0, 8.0)"
43,16.0,16.0,1.0,8.0,0.196112,"(16.0, 8.0)"
44,256.0,16.0,0.0,8.0,0.785547,"(16.0, 8.0)"
45,256.0,16.0,1.0,8.0,0.820495,"(16.0, 8.0)"
46,2048.0,16.0,0.0,8.0,4.995683,"(16.0, 8.0)"
47,2048.0,16.0,1.0,8.0,4.615038,"(16.0, 8.0)"
48,16.0,4.0,0.0,1.0,0.005442,"(4.0, 1.0)"
49,16.0,4.0,1.0,1.0,0.004524,"(4.0, 1.0)"
50,256.0,4.0,0.0,1.0,0.013951,"(4.0, 1.0)"
51,256.0,4.0,1.0,1.0,0.008764,"(4.0, 1.0)"
52,2048.0,4.0,0.0,1.0,0.062702,"(4.0, 1.0)"
53,2048.0,4.0,1.0,1.0,0.076835,"(4.0, 1.0)"
54,16.0,4.0,0.0,8.0,0.068638,"(4.0, 8.0)"
55,16.0,4.0,1.0,8.0,0.074069,"(4.0, 8.0)"
56,256.0,4.0,0.0,8.0,0.298227,"(4.0, 8.0)"
57,256.0,4.0,1.0,8.0,0.284117,"(4.0, 8.0)"
58,2048.0,4.0,0.0,8.0,1.422424,"(4.0, 8.0)"
59,2048.0,4.0,1.0,8.0,1.564655,"(4.0, 8.0)"
60,16.0,16.0,0.0,1.0,0.020882,"(16.0, 1.0)"
61,16.0,16.0,1.0,1.0,0.019601,"(16.0, 1.0)"
62,256.0,16.0,0.0,1.0,0.047905,"(16.0, 1.0)"
63,256.0,16.0,1.0,1.0,0.037812,"(16.0, 1.0)"
64,2048.0,16.0,0.0,1.0,0.391591,"(16.0, 1.0)"
65,2048.0,16.0,1.0,1.0,0.32841,"(16.0, 1.0)"
66,16.0,16.0,0.0,8.0,0.130952,"(16.0, 8.0)"
67,16.0,16.0,1.0,8.0,0.162402,"(16.0, 8.0)"
68,256.0,16.0,0.0,8.0,0.779963,"(16.0, 8.0)"
69,256.0,16.0,1.0,8.0,0.864807,"(16.0, 8.0)"
70,2048.0,16.0,0.0,8.0,5.008382,"(16.0, 8.0)"
71,2048.0,16.0,1.0,8.0,4.922018,"(16.0, 8.0)"
72,16.0,4.0,0.0,1.0,0.0074,"(4.0, 1.0)"
73,16.0,4.0,1.0,1.0,0.003377,"(4.0, 1.0)"
74,256.0,4.0,0.0,1.0,0.009269,"(4.0, 1.0)"
75,256.0,4.0,1.0,1.0,0.013512,"(4.0, 1.0)"
76,2048.0,4.0,0.0,1.0,0.056132,"(4.0, 1.0)"
77,2048.0,4.0,1.0,1.0,0.072673,"(4.0, 1.0)"
78,16.0,4.0,0.0,8.0,0.092118,"(4.0, 8.0)"
79,16.0,4.0,1.0,8.0,0.097804,"(4.0, 8.0)"
80,256.0,4.0,0.0,8.0,0.267634,"(4.0, 8.0)"
81,256.0,4.0,1.0,8.0,0.324532,"(4.0, 8.0)"
82,2048.0,4.0,0.0,8.0,1.475798,"(4.0, 8.0)"
83,2048.0,4.0,1.0,8.0,1.697927,"(4.0, 8.0)"
84,16.0,16.0,0.0,1.0,0.022249,"(16.0, 1.0)"
85,16.0,16.0,1.0,1.0,0.021235,"(16.0, 1.0)"
86,256.0,16.0,0.0,1.0,0.145006,"(16.0, 1.0)"
87,256.0,16.0,1.0,1.0,0.09048,"(16.0, 1.0)"
88,2048.0,16.0,0.0,1.0,0.662942,"(16.0, 1.0)"
89,2048.0,16.0,1.0,1.0,0.33046,"(16.0, 1.0)"
90,16.0,16.0,0.0,8.0,0.131377,"(16.0, 8.0)"
91,16.0,16.0,1.0,8.0,0.182535,"(16.0, 8.0)"
92,256.0,16.0,0.0,8.0,0.837054,"(16.0, 8.0)"
93,256.0,16.0,1.0,8.0,0.859845,"(16.0, 8.0)"
94,2048.0,16.0,0.0,8.0,5.314933,"(16.0, 8.0)"
95,2048.0,16.0,1.0,8.0,5.028596,"(16.0, 8.0)"
96,16.0,4.0,0.0,1.0,0.001256,"(4.0, 1.0)"
97,16.0,4.0,1.0,1.0,0.005729,"(4.0, 1.0)"
98,256.0,4.0,0.0,1.0,0.016543,"(4.0, 1.0)"
99,256.0,4.0,1.0,1.0,0.009136,"(4.0, 1.0)"
100,2048.0,4.0,0.0,1.0,0.059839,"(4.0, 1.0)"
101,2048.0,4.0,1.0,1.0,0.07404,"(4.0, 1.0)"
102,16.0,4.0,0.0,8.0,0.201675,"(4.0, 8.0)"
103,16.0,4.0,1.0,8.0,0.16183,"(4.0, 8.0)"
104,256.0,4.0,0.0,8.0,0.448254,"(4.0, 8.0)"
105,256.0,4.0,1.0,8.0,0.446656,"(4.0, 8.0)"
