,D,P,mode,ppn,time,"(P, ppn)"
0,16.0,4.0,0.0,1.0,0.003253,"(4.0, 1.0)"
1,16.0,4.0,1.0,1.0,0.000896,"(4.0, 1.0)"
2,256.0,4.0,0.0,1.0,0.009469,"(4.0, 1.0)"
3,256.0,4.0,1.0,1.0,0.006627,"(4.0, 1.0)"
4,2048.0,4.0,0.0,1.0,0.058838,"(4.0, 1.0)"
5,2048.0,4.0,1.0,1.0,0.039264,"(4.0, 1.0)"
6,16.0,4.0,0.0,8.0,0.110401,"(4.0, 8.0)"
7,16.0,4.0,1.0,8.0,0.112645,"(4.0, 8.0)"
8,256.0,4.0,0.0,8.0,0.268696,"(4.0, 8.0)"
9,256.0,4.0,1.0,8.0,0.241683,"(4.0, 8.0)"
10,2048.0,4.0,0.0,8.0,0.832183,"(4.0, 8.0)"
11,2048.0,4.0,1.0,8.0,0.62999,"(4.0, 8.0)"
12,16.0,16.0,0.0,1.0,0.004448,"(16.0, 1.0)"
13,16.0,16.0,1.0,1.0,0.006192,"(16.0, 1.0)"
14,256.0,16.0,0.0,1.0,0.071278,"(16.0, 1.0)"
15,256.0,16.0,1.0,1.0,0.020633,"(16.0, 1.0)"
16,2048.0,16.0,0.0,1.0,0.227968,"(16.0, 1.0)"
17,2048.0,16.0,1.0,1.0,0.164013,"(16.0, 1.0)"
18,16.0,16.0,0.0,8.0,0.235147,"(16.0, 8.0)"
19,16.0,16.0,1.0,8.0,0.220331,"(16.0, 8.0)"
20,256.0,16.0,0.0,8.0,0.427042,"(16.0, 8.0)"
21,256.0,16.0,1.0,8.0,0.442159,"(16.0, 8.0)"
22,2048.0,16.0,0.0,8.0,1.346316,"(16.0, 8.0)"
23,2048.0,16.0,1.0,8.0,1.225664,"(16.0, 8.0)"
24,16.0,4.0,0.0,1.0,0.004901,"(4.0, 1.0)"
25,16.0,4.0,1.0,1.0,0.007368,"(4.0, 1.0)"
26,256.0,4.0,0.0,1.0,0.007379,"(4.0, 1.0)"
27,256.0,4.0,1.0,1.0,0.007048,"(4.0, 1.0)"
28,2048.0,4.0,0.0,1.0,0.065785,"(4.0, 1.0)"
29,2048.0,4.0,1.0,1.0,0.060417,"(4.0, 1.0)"
30,16.0,4.0,0.0,8.0,0.246348,"(4.0, 8.0)"
31,16.0,4.0,1.0,8.0,0.236477,"(4.0, 8.0)"
32,256.0,4.0,0.0,8.0,0.631874,"(4.0, 8.0)"
33,256.0,4.0,1.0,8.0,0.458768,"(4.0, 8.0)"
34,2048.0,4.0,0.0,8.0,1.604685,"(4.0, 8.0)"
35,2048.0,4.0,1.0,8.0,1.077788,"(4.0, 8.0)"
36,16.0,16.0,0.0,1.0,0.025267,"(16.0, 1.0)"
37,16.0,16.0,1.0,1.0,0.025747,"(16.0, 1.0)"
38,256.0,16.0,0.0,1.0,0.07353,"(16.0, 1.0)"
39,256.0,16.0,1.0,1.0,0.02322,"(16.0, 1.0)"
40,2048.0,16.0,0.0,1.0,0.205044,"(16.0, 1.0)"
41,2048.0,16.0,1.0,1.0,0.127223,"(16.0, 1.0)"
42,16.0,16.0,0.0,8.0,0.12475,"(16.0, 8.0)"
43,16.0,16.0,1.0,8.0,0.137364,"(16.0, 8.0)"
44,256.0,16.0,0.0,8.0,0.292007,"(16.0, 8.0)"
45,256.0,16.0,1.0,8.0,0.26706,"(16.0, 8.0)"
46,2048.0,16.0,0.0,8.0,0.955151,"(16.0, 8.0)"
47,2048.0,16.0,1.0,8.0,0.785413,"(16.0, 8.0)"
48,16.0,4.0,0.0,1.0,0.016534,"(4.0, 1.0)"
49,16.0,4.0,1.0,1.0,0.007274,"(4.0, 1.0)"
50,256.0,4.0,0.0,1.0,0.02507,"(4.0, 1.0)"
51,256.0,4.0,1.0,1.0,0.019018,"(4.0, 1.0)"
52,2048.0,4.0,0.0,1.0,0.076112,"(4.0, 1.0)"
53,2048.0,4.0,1.0,1.0,0.040552,"(4.0, 1.0)"
54,16.0,4.0,0.0,8.0,0.107971,"(4.0, 8.0)"
55,16.0,4.0,1.0,8.0,0.106866,"(4.0, 8.0)"
56,256.0,4.0,0.0,8.0,0.242279,"(4.0, 8.0)"
57,256.0,4.0,1.0,8.0,0.213159,"(4.0, 8.0)"
58,2048.0,4.0,0.0,8.0,0.709839,"(4.0, 8.0)"
59,2048.0,4.0,1.0,8.0,0.601059,"(4.0, 8.0)"
60,16.0,16.0,0.0,1.0,0.01513,"(16.0, 1.0)"
61,16.0,16.0,1.0,1.0,0.004035,"(16.0, 1.0)"
62,256.0,16.0,0.0,1.0,0.070209,"(16.0, 1.0)"
63,256.0,16.0,1.0,1.0,0.024119,"(16.0, 1.0)"
64,2048.0,16.0,0.0,1.0,0.207392,"(16.0, 1.0)"
65,2048.0,16.0,1.0,1.0,0.120777,"(16.0, 1.0)"
66,16.0,16.0,0.0,8.0,0.140732,"(16.0, 8.0)"
67,16.0,16.0,1.0,8.0,0.145157,"(16.0, 8.0)"
68,256.0,16.0,0.0,8.0,0.315873,"(16.0, 8.0)"
69,256.0,16.0,1.0,8.0,0.24152,"(16.0, 8.0)"
70,2048.0,16.0,0.0,8.0,0.870193,"(16.0, 8.0)"
71,2048.0,16.0,1.0,8.0,0.744905,"(16.0, 8.0)"
72,16.0,4.0,0.0,1.0,0.003186,"(4.0, 1.0)"
73,16.0,4.0,1.0,1.0,0.016584,"(4.0, 1.0)"
74,256.0,4.0,0.0,1.0,0.011847,"(4.0, 1.0)"
75,256.0,4.0,1.0,1.0,0.012613,"(4.0, 1.0)"
76,2048.0,4.0,0.0,1.0,0.043766,"(4.0, 1.0)"
77,2048.0,4.0,1.0,1.0,0.041784,"(4.0, 1.0)"
78,16.0,4.0,0.0,8.0,0.115162,"(4.0, 8.0)"
79,16.0,4.0,1.0,8.0,0.113422,"(4.0, 8.0)"
80,256.0,4.0,0.0,8.0,0.2834,"(4.0, 8.0)"
81,256.0,4.0,1.0,8.0,0.200716,"(4.0, 8.0)"
82,2048.0,4.0,0.0,8.0,0.780887,"(4.0, 8.0)"
83,2048.0,4.0,1.0,8.0,0.617321,"(4.0, 8.0)"
84,16.0,16.0,0.0,1.0,0.027984,"(16.0, 1.0)"
85,16.0,16.0,1.0,1.0,0.035671,"(16.0, 1.0)"
86,256.0,16.0,0.0,1.0,0.063528,"(16.0, 1.0)"
87,256.0,16.0,1.0,1.0,0.083543,"(16.0, 1.0)"
